Aircraft,From,From
Boeing 777 and A350,Bangkok,1
"Boeing 777, 787 / A380",Noi Bai International,1
"Boeing 777, Boeing 787",Bangkok,1
Boeing 777-200,São Paulo/Guarulhos International,2
Boeing 777-200,Auckland,1
Boeing 777-200,Manchester,1
Boeing 777-200,Maputo,1
Boeing 777-200 / A320,Hartsfield-Jackson Atlanta International,1
Boeing 777-200 / A330-200,Perth,1
Boeing 777-200 / A380,Philadelphia,1
Boeing 777-200 LR,Manila,1
Boeing 777-200/300 /  A380,London,1
Boeing 777-200ER,Dallas/Fort Worth,1
Boeing 777-200ER,Philadelphia,1
Boeing 777-200LR,Doha,5
Boeing 777-200LR,Los Angeles,5
Boeing 777-200LR,Auckland,2
Boeing 777-200LR,Chhatrapati Shivaji Maharaj International,1
Boeing 777-200LR,George Bush Intercontinental,1
Boeing 777-200LR,Kuala Lumpur,1
Boeing 777-200LR,London,1
Boeing 777-200LR,São Paulo/Guarulhos International,1
Boeing 777-200LR / 777-300ER,Bangalore,1
Boeing 777-200LR / A350-900,Auckland,1
Boeing 777-200LR / A350-900,Kuwait,1
Boeing 777-200LR / A380,Islamabad,1
"Boeing 777-200LR, Boeing 777-300ER",São Paulo/Guarulhos International,1
Boeing 777-200lr,Jinnah International,1
Boeing 777-300,Doha,15
Boeing 777-300,Amsterdam,3
Boeing 777-300,Johannesburg,2
Boeing 777-300,London Heathrow,2
Boeing 777-300,Manila,2
Boeing 777-300,Mumbai,2
Boeing 777-300,Phuket,2
Boeing 777-300,Ahmedabad,1
Boeing 777-300,Amsterdam Airport Schiphol,1
Boeing 777-300,Atlanta,1
Boeing 777-300,Bangkok,1
Boeing 777-300,Canberra,1
Boeing 777-300,Cape Town,1
Boeing 777-300,Chicago,1
Boeing 777-300,Copenhagen,1
Boeing 777-300,Delhi,1
Boeing 777-300,Denpasar,1
Boeing 777-300,Dubai,1
Boeing 777-300,Dulles,1
Boeing 777-300,Hong Kong,1
Boeing 777-300,John F. Kennedy,1
Boeing 777-300,Kuwait,1
Boeing 777-300,London,1
Boeing 777-300,Manchester,1
Boeing 777-300,Paris,1
Boeing 777-300,Perth,1
Boeing 777-300,Singapore,1
Boeing 777-300,Sydney,1
Boeing 777-300,São Paulo/Guarulhos International,1
"Boeing 777-300 / 777-200 / 787-8 & A380, -8",Noi Bai International,1
Boeing 777-300 / 787,Hong Kong,1
Boeing 777-300 / 787,London Heathrow,1
Boeing 777-300 / 787-8,Bangkok,1
Boeing 777-300 / 787-8,Boston,1
Boeing 777-300 / A320,Abu Dhabi,1
Boeing 777-300 / A320,Manila,1
Boeing 777-300 / A320,Noi Bai International,1
Boeing 777-300 / A320-232,Manchester,1
Boeing 777-300 / A330,Cairo,1
Boeing 777-300 / A330 / A321,Melbourne,1
Boeing 777-300 / A380,Frankfurt,1
Boeing 777-300 / A380,Perth,1
Boeing 777-300 / Boeing 787,Bangkok,1
Boeing 777-300 / Boeing 787,Perth,1
Boeing 777-300 /B787-8,Montreal,1
Boeing 777-300 ER,Doha,3
Boeing 777-300 ER,Melbourne,2
Boeing 777-300 ER,Dubai,1
Boeing 777-300 ER,John F. Kennedy,1
Boeing 777-300 ER,London Heathrow,1
Boeing 777-300 ER,Philadelphia,1
Boeing 777-300 ER,Zurich,1
Boeing 777-300 ER / A350-900,Bangkok,1
Boeing 777-300 ER / A350-900 / Boeing 787-9,Washington,1
Boeing 777-300 and Boeing 787-8,Doha,1
Boeing 777-300 er,Istanbul,1
"Boeing 777-300, A380, Boeing 787",Noi Bai International,1
"Boeing 777-300, Boeing 777-300",Bangalore,1
"Boeing 777-300, Boeing 787",Brisbane,1
"Boeing 777-300, Boeing 787",Chicago,1
Boeing 777-300ER,Doha,22
Boeing 777-300ER,Bangkok,7
Boeing 777-300ER,London,4
Boeing 777-300ER,Chicago,3
Boeing 777-300ER,Copenhagen,3
Boeing 777-300ER,Denpasar,3
Boeing 777-300ER,Islamabad,3
Boeing 777-300ER,Manila,3
Boeing 777-300ER,Mumbai,3
Boeing 777-300ER,Washington,3
Boeing 777-300ER,Zurich,3
Boeing 777-300ER,Brisbane,2
Boeing 777-300ER,Hong Kong,2
Boeing 777-300ER,New York,2
Boeing 777-300ER,Philadelphia,2
Boeing 777-300ER,Abu Dhabi,1
Boeing 777-300ER,Ankara,1
Boeing 777-300ER,Atlanta,1
Boeing 777-300ER,Beirut,1
Boeing 777-300ER,Berlin,1
Boeing 777-300ER,Brussels,1
Boeing 777-300ER,Charles de Gaulle Airport,1
Boeing 777-300ER,Dallas/Fort Worth,1
Boeing 777-300ER,Dammam,1
Boeing 777-300ER,Dulles,1
Boeing 777-300ER,Hanoi,1
Boeing 777-300ER,Houston,1
Boeing 777-300ER,Jakarta,1
Boeing 777-300ER,Johannesburg,1
Boeing 777-300ER,Karachi,1
Boeing 777-300ER,Kochi,1
Boeing 777-300ER,Kuala Lumpur,1
Boeing 777-300ER,London Heathrow,1
Boeing 777-300ER,Munich,1
Boeing 777-300ER,Paris,1
Boeing 777-300ER,Phuket,1
Boeing 777-300ER,Shanghai Pudong International,1
Boeing 777-300ER,Stockholm,1
Boeing 777-300ER,Venice Marco Polo,1
Boeing 777-300ER,Zagreb,1
Boeing 777-300ER / 787,Denpasar,1
Boeing 777-300ER / 787,Shanghai Pudong International,1
Boeing 777-300ER / 787-8,Manila,1
Boeing 777-300ER / 787-8,Singapore,1
Boeing 777-300ER / 787-8 / A330,Bangkok,1
Boeing 777-300ER / A320,Frankfurt,1
Boeing 777-300ER / A330 / 320 / 350,London,1
Boeing 777-300ER / A330-200,Incheon,1
Boeing 777-300ER / A330-300,London,1
Boeing 777-300ER / A330-300,Manchester,1
Boeing 777-300ER / A350,Atlanta,1
Boeing 777-300ER / A350,Bangkok,1
Boeing 777-300ER / A350,Melbourne,1
Boeing 777-300ER / A350-900,Bangkok,1
Boeing 777-300ER / A350-900,Frankfurt,1
Boeing 777-300ER / A350-900,Hong Kong,1
Boeing 777-300ER / A350-900 / B787-8,Bangkok,1
Boeing 777-300ER / A380,Manila,1
Boeing 777-300ER /A350-900,Sydney,1
Boeing 777-300ER and A320,Frankfurt,1
Boeing 777-300ER and A320,Sydney,1
Boeing 777-300ER and A350,Washington Dulles International,1
"Boeing 777-300ER, A320",London Heathrow,1
"Boeing 777-300ER, A321",Hong Kong,1
"Boeing 777-300ER, A321",Kyiv,1
"Boeing 777-300ER, A350-900, Boeing 787-8",Bangkok,1
"Boeing 777-300ER, A380",London Heathrow,1
Boeing 777-300LR,Kigali,1
Boeing 777-300R,London Heathrow,1
Boeing 777-300er,Dubai,1
Boeing 777-300er,Manchester,1
Boeing 777-330er / A380-800,Tehran,1
Boeing 777-3DZ(ER),Denpasar,1
Boeing 777-3ER,London,1
Boeing 777-ER / A330-300,Cape Town,1
Boeing 777-LR,Doha,1
Boeing 7777-300ER / A330,Muscat,1
Boeing 777ER,Doha,1
Boeing 777ER,Frankfurt,1
Boeing 777ER / 787/ A350-100,London,1
Boeing 777er / A350-900,Perth,1
Boeing 787,Doha,13
Boeing 787,Edinburgh,5
Boeing 787,Bangkok,4
Boeing 787,Brussels,4
Boeing 787,O. R. Tambo International,4
Boeing 787,Cape Town,3
Boeing 787,Copenhagen,3
Boeing 787,Munich,3
Boeing 787,Stockholm Arlanda,3
Boeing 787,Barcelona,2
Boeing 787,Birmingham,2
Boeing 787,Geneva,2
Boeing 787,Jakarta,2
Boeing 787,Manchester,2
Boeing 787,Oslo,2
Boeing 787,Rome,2
Boeing 787,Zurich,2
Boeing 787,Al Maktoum International,1
Boeing 787,Amsterdam Airport Schiphol,1
Boeing 787,Athens,1
Boeing 787,Bandaranaike International,1
Boeing 787,Beirut,1
Boeing 787,Berlin,1
Boeing 787,Bucharest,1
Boeing 787,Cardiff,1
Boeing 787,Cebu,1
Boeing 787,Clark,1
Boeing 787,Dubai,1
Boeing 787,Dublin,1
Boeing 787,Durban,1
Boeing 787,Helsinki,1
Boeing 787,Johannesburg,1
Boeing 787,Karachi,1
Boeing 787,Kuala Lumpur,1
Boeing 787,Kuwait,1
Boeing 787,London,1
Boeing 787,Madrid,1
Boeing 787,Maputo,1
Boeing 787,Marrakech,1
Boeing 787,Milan,1
Boeing 787,Mumbai,1
Boeing 787,New Delhi,1
Boeing 787,Perth,1
Boeing 787,Phuket,1
Boeing 787,Prague,1
Boeing 787,Singapore,1
Boeing 787,Singapore Changi Airport,1
Boeing 787,Tbilisi,1
Boeing 787,Vienna,1
Boeing 787 /  777-300,Edinburgh,1
Boeing 787 /  A380,Brussels,1
Boeing 787 / 777,Cape Town,2
Boeing 787 / 777,Birmingham,1
Boeing 787 / 777,Brussels,1
Boeing 787 / 777,Edinburgh,1
Boeing 787 / 777,Frankfurt,1
Boeing 787 / 777,Jinnah International,1
Boeing 787 / 777,Madrid,1
Boeing 787 / 777,Manchester,1
Boeing 787 / 777,Milan,1
Boeing 787 / 777,Phuket,1
Boeing 787 / 777,Stockholm,1
Boeing 787 / 777,Stockholm Arlanda,1
Boeing 787 / 777,Tunis,1
Boeing 787 / 777 / A380,Amsterdam Airport Schiphol,1
Boeing 787 / 777-300,Birmingham,1
Boeing 787 / 777-300,Stockholm Arlanda,1
Boeing 787 / 777-300ER,Amsterdam Airport Schiphol,1
Boeing 787 / A320,Cape Town,1
Boeing 787 / A320,Heydar Aliyev International,1
Boeing 787 / A320,Johannesburg,1
Boeing 787 / A321,Manchester,1
Boeing 787 / A330,Manchester,2
Boeing 787 / A330,Copenhagen,1
Boeing 787 / A330,Maputo,1
Boeing 787 / A330,O. R. Tambo International,1
Boeing 787 / A330 / A320,Edinburgh,1
Boeing 787 / A330-200,Amsterdam Airport Schiphol,1
Boeing 787 / A330-200,Tokyo,1
Boeing 787 / A340 / A380,London Heathrow,1
Boeing 787 / A350,Copenhagen,2
Boeing 787 / A350,Doha,1
Boeing 787 / A350,London Gatwick,1
Boeing 787 / A350,New Delhi,1
Boeing 787 / A350,Singapore Changi Airport,1
Boeing 787 / A350,Stockholm,1
Boeing 787 / A350-900,Clark,1
Boeing 787 / A380,Amsterdam Airport Schiphol,2
Boeing 787 / A380,Cape Town,2
Boeing 787 / A380,London Heathrow,2
Boeing 787 / A380,Auckland,1
Boeing 787 / A380,Delhi,1
Boeing 787 / A380,Dublin,1
Boeing 787 / A380,Edinburgh,1
Boeing 787 / A380,Haneda Airport,1
Boeing 787 / A380,Madrid,1
Boeing 787 / A380,Oslo,1
Boeing 787 / A380,Stockholm Arlanda,1
Boeing 787 / AB332,Warsaw,1
Boeing 787 / B777-300ER,Edinburgh,1
